apple - 苹果 [ˈæpl]
book - 书 [bʊk]
computer - 电脑 [kəmˈpjuːtər]
desk - 桌子 [desk]
elephant - 大象 [ˈelɪfənt]
flower - 花 [ˈflaʊər]
guitar - 吉他 [ɡɪˈtɑːr]
house - 房子 [haʊs]
island - 岛屿 [ˈaɪlənd]
jacket - 夹克 [ˈdʒækɪt]
kitchen - 厨房 [ˈkɪtʃɪn]
library - 图书馆 [ˈlaɪbreri]
mountain - 山 [ˈmaʊntən]
notebook - 笔记本 [ˈnoʊtbʊk]
ocean - 海洋 [ˈoʊʃn]
pencil - 铅笔 [ˈpensl]
question - 问题 [ˈkwestʃən]
rainbow - 彩虹 [ˈreɪnboʊ]
student - 学生 [ˈstuːdnt]
teacher - 老师 [ˈtiːtʃər]
umbrella - 雨伞 [ʌmˈbrelə]
village - 村庄 [ˈvɪlɪdʒ]
window - 窗户 [ˈwɪndoʊ]
xylophone - 木琴 [ˈzaɪləfoʊn]
yellow - 黄色 [ˈjeloʊ]
zebra - 斑马 [ˈziːbrə]
beautiful - 美丽的 [ˈbjuːtɪfl]
dangerous - 危险的 [ˈdeɪndʒərəs]
important - 重要的 [ɪmˈpɔːrtnt]
interesting - 有趣的 [ˈɪntrəstɪŋ]
